Title,Link,Content,Insight
10 Student-Tested Chrome Extensions,https://www.edutopia.org/article/10-student-tested-chrome-extensions,"Many teachers and students use the popular browser, and it’s easy to customize with these extensions that really benefit students. Your content has been saved! Teachers are always on the lookout for new ideas about teaching practices, classroom design and organization, and how best to reach students. They also need to keep up with the technology tools they provide to students. One tool that’s often taken for granted is the browser students use to access the internet, but there’s a lot that teachers can do to make a browser more effective. For the many schools using Google Chrome, extensions are an easy way to adapt students’ browsers and equip them with personalized support they can use on assignments and classroom activities throughout the year. When downloading a Chrome extension, it’s important to ensure that the tool is appropriate for students, including evaluating its data and privacy regulations, age restrictions, and overall connection to learning goals. Since it’s easy for anyone to get their self-created extension into the Chrome Web Store, one important consideration is whether or not the extension has an Established Publisher badge, which indicates that the extension publisher is verified and meets Google’s developer program policies. Be sure to also check out the Privacy Practices section of each extension before downloading. The following are the top 10 extensions that I recommend and use, and that support student learning in the classroom. These extensions do not require students to create an account before using. Each tool can be used immediately after downloading—and they’re all free.",General impact
How to Help Students Resist Their Phones and Develop Better Digital Habits,https://www.edutopia.org/article/healthy-digital-habits-students,"Excessive phone use can lead to depression and poor school performance, but building academic confidence can forge healthier habits. Your content has been saved! This summer I ran away to the woods to be out of cell service because I needed to get some writing done. I had tried to finish my book at home, at coffee shops, and even while on vacation. None of it worked because I was fighting a losing battle with my phone and technology.  I’m someone who remembers life before the iPhone and whose first exposure to social media was copying and pasting code into MySpace, and my upbringing was a world away from the one my students live in.  By the time a child is 5 years old, there will be around 1,000 to 1,500 photos of them online. On average, kids 8 to 10 years old spend around six hours a day in front of a screen, with that figure reaching about 7.5 hours by the age of 15. ",High screen time observed
How to Tap Into Students’ Interests With a TED Talk Unit,https://www.edutopia.org/article/how-tap-students-interests-ted-talk-unit,"Creating a presentation about their interests can boost students’ engagement as they develop communication and tech skills. Your content has been saved! As an educator, I find there’s nothing better than witnessing my students becoming completely enthralled with a class project. Their eyes light up, they share their ideas excitedly with peers, and working on their masterpiece makes time fly by in such a way that when I announce lunch break, they collectively holler, “What? Already?” Projects such as these bring exhilaration and passion into the classroom and breathe new life into antiquated curriculum. One such project that has sparked joy for my students and me has been our TED Talk unit. TED Talks provide a glimpse into students’ lives, as they hone their energies into topics they’re truly passionate about. I’ve had a student who elected to speak about finding her passion by sharing how ventriloquism inspired her to persevere when trying new things, another who spoke about the dangers of too much screen time, and one who taught us all about the fascinating history of the yo-yo, wowing us with his skills as he spoke.",General impact
A Powerful Strategy for Fostering Student Motivation,https://www.edutopia.org/article/powerful-strategy-fostering-student-motivation,"A look at how to adapt a well-established technique for boosting student motivation in distance learning or hybrid classrooms. Your content has been saved! Whether in person, virtually, or in some blended or hybrid model, many teachers are finding it more difficult than ever to keep their students motivated to learn. If you’re a new teacher this year, student motivation can be an even tougher nut to crack. I’ve found it helpful to revisit ideas I explored during my teacher training, and one that has been helping me through today’s unprecedented circumstances is the ARCS Model. Developed by educational psychologist John Keller, ARCS highlights the importance of attention, relevance, confidence, and satisfaction in stimulating learners and maintaining their focus during learning activities. For educators looking to improve student motivation, evaluating whether these elements are present in learning is a good place to start. From there, small steps can be taken to apply each element with the help of both tech-based and traditional tools, which can make a notable difference in motivating students and improve outcomes. Like all of us, students are more willing to invest their time and focus when they are interested in a topic. Likewise, sitting through the same routine lesson structure day after day can quickly lead to disinterest.",Affects motivation
Students Need to Learn to Manage Their Own Screen Time,https://www.edutopia.org/article/students-need-learn-manage-their-own-screen-time,"When students understand the benefits of limiting screen time, they are better able to manage their own distractions. Your content has been saved! Developing executive function skills like staying on task and making their own schedules can help students manage their technology more effectively, writes Ana Homayoun in “How Intrinsic Motivation Helps Students Manage Digital Distractions” for EdSurge. She visited schools in 40 cities and surveyed students to determine how they felt about their current technology use and what changes might be made to balance their use of cellphones and computers with other goals—like finishing assignments, spending time with friends and family, or exploring hobbies.     Asking students to reflect on their own behaviors is a critical step, so adults need to operate from a place of curiosity and compassion instead of fear and anger, Homayoun argues. Instead of shutting off the wi-fi to limit phone use in schools—a compliance-based model that students simply find workarounds to avoid—educators should consider ways to help students develop their own motivations to curb technology use.  “In some ways, the first wave of digital citizenship education faltered by blocking distractions from school networks and telling students what to do, rather than effectively encouraging them to develop their own intrinsic motivation around making better choices online and in real life,” she writes. Teachers can help students identify goals—like spending more time with friends or family and less time on social media—and then collaborate with students to create strategies to meet those objectives. Students reported success in increasing focus by setting timers and using web blockers to avoid distractions.",Affects motivation
Spread the Word About Summer Meals for Students,https://www.edutopia.org/blog/spread-word-about-summer-meals-students-anne-obrien,"Your content has been saved! As a society, we tend to romanticize ""summer break"" in discussions about school. For some of us not involved in education (and even for some who are), what comes to mind is kids on the beach, in summer camp, playing sports, reading (for fun!) under a tree, or another variation on the idea that activities dominate this time when students are free from the pressures of school. Educators see more nuance, often recognizing potential benefits to summer break while also having concerns that kids will get too much screen time and too little activity, and knowing that when school starts again in the fall, many students will have experienced the ""summer slide"" -- loss of ground in their academic skills. Not often raised is the issue of summer hunger. For some kids, a break from school means a break from the school meals that they rely on. Nearly 20 percent of U.S. households with children under the age of 18 were food insecure in 2013, according to the U.S. Department of Agriculture. That means they lacked access to enough food ensuring an active, healthy life for all household members. While only adults were affected in nearly half these households, overall, 8.6 million children were food insecure.",General impact
Empowering Student Relationships With Media,https://www.edutopia.org/blog/empowering-student-relationships-with-media-josh-weisgrau,"Consider this working with this new taxonomy or ladder of engagement when assigning your students media projects: consuming, curating, creating, critiquing, and publishing. Your content has been saved! Debates over children and media use are nothing new, but the technologies by which children primarily interact with media have changed significantly. Most guidelines related to ""screen time"" were developed when television was the dominant media, but new technologies are making us question the value of older research. In its most recent report on the subject, the American Academy of Pediatrics makes reference to ""important positive and prosocial effects of media use,"" and a call for expanding media education programs in schools. While more dedicated media education in schools would be great, it is little more than a pipe dream in the current climate of low budgets and high-stake tests. It is therefore incumbent on individual educators to help students interact with media in ways that are critical and empowering. We cannot limit this work to media that we have selected for quality or educational value. We should look for ways to engage critical thinking around students' everyday media uses, whether through planned projects and lessons or informal engagement. In defining empowered uses of media, we have to go beyond notions of screen time or even content (although we can still avoid content that seems harmful or inappropriate). By looking at elements from both the Encoding/Decoding model in communications theory and the New Bloom's Taxonomy, we can create our own taxonomy of media skills. The goal is to help students become aware and empowered decoders of the media they engage with, creating their own meanings and uses from the media.",General impact
Amplifying Student Voice Through Digital Literacy,https://www.edutopia.org/blog/amplifying-student-voice-digital-literacy-andrew-marcinek,"Your content has been saved! In all of my work in education, there has never been a more motivating or driving force than student voice. Additionally, we live in a generation where anyone in the world can take his or her voice and amplify it globally. But after reading Student Voice: The Instrument of Change by Dr. Russ Quaglia and Michael Corso, I realized that there is more to empowering student voice than simply handing a student a blog and telling him or her to write. In fact, one of the biggest takeaways from this work is that some students might not be prepared to amplify their voice to the world. With Digital Learning Day fast approaching, I wanted to share some ideas that can help teachers nurture student voice before sending it off into the world. In any learning experience, it's always a good idea to look back before driving forward. Regardless of the subject, we can all learn valuable lessons from history. In the case of digital and social media, we have lots to learn as well. For many students, this is the world they were born into. Most of them don't know a world without the internet and a time before personal, mobile devices. Additionally, there is a lot of research circulating about the effects of screen time on young children and how it should be balanced. Before students begin writing a blog, they should understand how a blog came to be and what this funny word actually means (weblog). Students should understand what it's like to write a letter to someone and the experience of receiving a letter. I am certain that many students out there have never enjoyed the experience of receiving a handwritten letter in the mail. Writing a letter or even brainstorming ideas in a notebook is where a writer's voice burgeons. This is the laboratory where some of our greatest writers and journalists have started. The thought of a student, during his or her formative years, simply looking at a blank Google document with a blinking cursor is not a way to develop and nurture voice.",General impact
"Student Agency: Voice, Choice and Making",https://www.edutopia.org/discussion/student-agency-voice-choice-and-making,"Your content has been saved! In anticipation of the new Common Core Smarter Balanced Assessments, which students will take online, teachers are being asked to help students prepare by giving them more time on computers. After all, if the testing environment is all online, students need to be familiar with and comfortable using basic computer commands and options, as well as keyboarding and computation. But as with any significant shift in classroom practices, there has been some push-back, as parents and educators alike ask about the potential downsides of too much “screen time” for kids. New technologies offer a wealth of opportunities for students to discover their own agency: to take control of their learning, to make choices in their education, to find their unique voice. But will students become passive learners, sitting in front of a screen and consuming, instead of actively interacting with and producing new content? Yesterday I participated in a Hangout (http://goo.gl/BBocHH) with the National Writing Project and Educator Innovator on how we can create opportunities, space, and time for all youth to be agents in their own learning. Kicking off Connected Educator Month, we take inspiration from the “Maker Movement” as well as Connected Learning principles to support the sharing of ideas and strategies related to this notion of youth agency throughout October and beyond.",General impact
Implementing Blended Learning With Pre-K Students,https://www.edutopia.org/article/implementing-blended-learning-pre-k-students,"Teachers can encourage pre-K students to develop independent learning skills—while avoiding inappropriate amounts of screen use. Your content has been saved! Educators and parents of young children are rightly wary of too much screen time, but, used with care, blended learning can help ensure that students receive the information and knowledge they are ready for. This model allows teachers to facilitate learning in such a way that students have some control over it. Even at 4 years old, students have different learning needs and backgrounds, so differentiated instruction is an imperative part of the learning experience. Yet it’s important to understand that implementing blended learning in your pre-K classroom doesn’t happen overnight—it’s a process that you cultivate, and it builds over time. In the pre-K environment, you can incorporate this model in bits and pieces and add more throughout the school year. Adapting ideas from older classrooms for 4-year-olds will work as long as you chunk and chew.",General impact
